student_id,gender,ethnicity,city,district,school_id,Program ID
1,F,Creole,Belmopan City,Cayo,12,AAGR
4,F,Creole,Belize City,BELIZE,12,AARC
89,M,Creole,Belize City,BELIZE,13,ABCB
113,M,Creole,Belmopan City,Cayo,13,ABCE
551,M,Mestizo,BELMOPAN,Cayo,13,ABCM
639,M,Creole,Cayo,BELIZE,30,ABIO
653,M,Creole,Belize City,BELIZE,13,ABMB
749,M,East Indian,Santa Elena Town,Cayo,13,ABMP
1217,F,Mestizo,Cayo,Cayo,10,ACHE
1303,M,Garifuna,DANGRIGA TOWN,STANN CREEK,13,ACMB
1353,M,East Indian,CAMALOTE VILLAGE,Cayo,30,ACMP
1652,M,Creole,Belmopan City,Cayo,51,AINT
2030,F,Other,Cayo,Cayo,11,AMAB
2077,M,Creole,Belize City,BELIZE,22,AMAP
2158,M,Garifuna,Belmopan City,Cayo,25,AMAT
2515,M,Mestizo,ORANGE WALK,ORANGE WALK,10,AMEE
2694,M,Creole,-,Cayo,11,ANRM
2788,M,Creole,Belmopan City,Cayo,13,AENG
2792,M,Creole,Belmopan City,Cayo,13,APRE
3136,M,Creole,Belize City,BELIZE,10,AECE
3301,M,Mestizo,Belize City,BELIZE,,ABUS
3573,M,Mayan,ROARING CREEK VILLAGE,Cayo,30,ATOS
3593,F,Mestizo,COROZAL TOWN,COROZAL,10,AAGR
3641,M,Creole,INDEPENDENCE VILLAGE,STANN CREEK,13,AARC
3845,F,Mestizo,Belmopan City,Cayo,33,ABCB
3864,M,Creole,LADYVILLE VILLAGE,BELIZE,,ABCE
3874,M,Creole,Belize City,BELIZE,13,ABCM
3880,F,Creole,PUNTA GORDA,TOLEDO,10,ABIO
4258,M,Creole,Belize City,BELIZE,10,ABMB
4369,M,Creole,DANGRIGA TOWN,STANN CREEK,13,ABMP
4395,M,Ketchi,Belmopan City,Cayo,13,ACHE
4396,F,Garifuna,PUNTA GORDA,TOLEDO,13,ACMB
4407,M,Other,Belize City,BELIZE,,ACMP
4446,F,Other,Belmopan City,Cayo,13,AINT
4484,M,Mestizo,,Cayo,13,AMAB
4508,F,Garifuna,PUNTA GORDA,TOLEDO,,AMAP
4518,M,Creole,Belmopan City,Cayo,13,AMAT
4538,M,Oriental,Belize City,BELIZE,58,AMEE
4566,M,Mestizo,Belmopan City,Cayo,7,ANRM
4584,M,Creole,Belize City,BELIZE,13,AENG
4602,M,Mayan,Belmopan City,Cayo,30,APRE
4639,M,Mestizo,Belmopan City,Cayo,30,AECE
4672,F,Mestizo,,BELIZE,27,ABUS
4699,M,Creole,-,Cayo,22,ATOS
4706,M,Creole,Belmopan City,Cayo,13,AAGR
4716,M,Mestizo,BELMOPAN,Cayo,13,AARC
4751,M,Mestizo,-,BELIZE,20,ABCB
4758,M,Garifuna,Belmopan City,Cayo,36,ABCE
4788,M,Creole,Belize City,BELIZE,10,ABCM
4798,F,East Indian,LADYVILLE VILLAGE,BELIZE,12,ABIO
4818,M,Creole,Belize City,BELIZE,20,ABMB
4829,M,Mestizo,Belize City,BELIZE,40,ABMP
4859,F,Creole,Belize City,BELIZE,10,ACHE
4869,M,Mestizo,SAN NARCISO VILLAGE,COROZAL,28,ACMB
4880,M,Creole,INDEPENDENCE VILLAGE,STANN CREEK,36,ACMP
4920,F,Garifuna,Belize City,BELIZE,13,AINT
4929,M,Ketchi,Belmopan City,Cayo,45,AMAB
4934,M,Garifuna,COROZAL DISTRICT,COROZAL,72,AMAP
4963,F,Oriental,DANGRIGA TOWN,STANN CREEK,25,AMAT
4987,M,Creole,Belmopan City,Cayo,30,AMEE
5016,M,Creole,Belize City,BELIZE,10,ANRM
5031,M,Garifuna,Belize City,BELIZE,40,AENG
5055,M,Mayan,TOLEDO DISTRICT,TOLEDO,13,APRE
5091,M,Mestizo,,Cayo,27,AECE
5116,M,Creole,Belmopan City,Cayo,13,ABUS
5125,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,32,ATOS
5142,F,Creole,ROARING CREEK VILLAGE,Cayo,30,AAGR
5148,M,Mayan,ROARING CREEK VILLAGE,Cayo,10,AARC
5165,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,71,ABCB
5167,M,Mestizo,Belmopan City,Cayo,13,ABCE
5181,F,Mestizo,SANTA ELENA,Cayo,27,ABCM
5207,M,Mestizo,BULLET TREE FALLS,Cayo,21,ABIO
5237,F,Creole,DANGRIGA TOWN,STANN CREEK,25,ABMB
5261,M,Oriental,Belmopan City,Cayo,,ABMP
5265,F,Creole,Belmopan City,Cayo,30,ACHE
5287,M,Oriental,BENQUE VIEJO DEL CARMEN,Cayo,13,ACMB
5320,F,Oriental,Belmopan City,Cayo,13,ACMP
5337,F,Mestizo,Belmopan City,Cayo,30,AINT
5359,M,Oriental,ORANGE WALK,ORANGE WALK,10,AMAB
5385,F,Creole,Belmopan City,Cayo,13,AMAP
5388,M,Creole,CAMALOTE VILLAGE,Cayo,6,AMAT
5394,M,Creole,Belize City,BELIZE,10,AMEE
5400,F,Creole,Belmopan City,Cayo,13,ANRM
5455,M,Mestizo,Belize City,BELIZE,,AENG
5464,M,Garifuna,Belize City,BELIZE,22,APRE
5483,M,Creole,HATTIEVILLE VILLAGE,BELIZE,20,AECE
5501,M,Other,Belize City,BELIZE,10,ABUS
5523,M,Creole,Belize City,BELIZE,,ATOS
5529,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,,AAGR
5546,F,Creole,,ORANGE WALK,,AARC
5555,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,,ABCB
5570,M,Creole,Belize City,BELIZE,10,ABCE
5576,F,Mayan,TOLEDO DISTRICT,TOLEDO,18,ABCM
5595,F,Mayan,TOLEDO DISTRICT,TOLEDO,,ABIO
5606,M,Garifuna,Belize City,BELIZE,,ABMB
5616,M,Other,Belize City,BELIZE,,ABMP
5642,M,Mestizo,,ORANGE WALK,13,ACHE
5661,M,Other,Belmopan City,Cayo,,ACMB
5686,M,Creole,Belmopan City,Cayo,,ACMP
5696,F,Mestizo,Belmopan City,Cayo,49,AINT
5702,M,Creole,Belmopan City,Cayo,30,AMAB
5713,M,Unknown,Belmopan City,Cayo,,AMAP
5735,M,Mestizo,Belmopan City,Cayo,,AMAT
5763,M,Mestizo,Cayo,Cayo,21,AMEE
5800,M,Creole,Belize City,BELIZE,22,ANRM
5819,M,Oriental,ORANGE WALK TOWN,ORANGE WALK,,AENG
5826,F,Creole,INDEPENDENCE VILLAGE,STANN CREEK,,APRE
5833,F,Creole,INDEPENDENCE VILLAGE,STANN CREEK,,AECE
5845,M,Creole,Belmopan City,Cayo,30,ABUS
5874,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,,ATOS
5900,M,Garifuna,Belmopan City,Cayo,13,
5923,M,Mestizo,Belmopan City,Cayo,30,AAGR
5948,M,Oriental,COROZAL,COROZAL,51,AARC
5973,M,Oriental,Belmopan City,Cayo,,ABCB
5976,M,Mestizo,Cayo,BELIZE,,ABCE
5987,M,Mestizo,Belmopan City,Cayo,,ABCM
6013,M,Creole,INDEPENDENCE VILLAGE,STANN CREEK,,ABIO
