program_status_id,program_status,student_id,course_id,course_grade,course_points,semester
1,Dropped,1,43,F,0,2003-1
2,Dropped,1,44,D+,4.5,2003-1
3,Dropped,1,45,B,9,2003-1
4,Graduated,4,46,C,6,2001-1
5,Graduated,4,47,F,0,2001-2
6,Graduated,4,48,C,6,2002-2
7,Graduated,4,49,A-,11.25,2003-1
8,Graduated,4,50,WP,0,2002-1
9,Graduated,4,48,C,6,2003-1
10,Graduated,4,51,C,8,2001-1
11,Graduated,4,49,C,6,2002-1
12,Graduated,4,52,B+,10.5,2001-1
13,Graduated,4,53,C+,7.5,2001-2
14,Graduated,4,54,C,6,2001-2
15,Graduated,4,47,B,9,2002-2
16,Graduated,4,55,B+,10.5,2003-2
17,Graduated,4,56,B,9,2001-1
18,Graduated,4,48,F,0,2001-2
19,Graduated,4,57,D+,4.5,2001-2
20,Graduated,4,58,C+,7.5,2002-1
21,Graduated,4,57,C,6,2002-2
22,Graduated,4,50,C,8,2003-1
23,Graduated,4,60,B,9,2003-2
24,Graduated,4,72,C+,10,2003-2
25,Terminated,89,22,B,9,2014-1
26,Terminated,89,23,F,0,2014-1
27,Terminated,89,40,WP,0,2015-1
28,Terminated,89,45,A-,11.25,2007-1
29,Terminated,89,15,C+,7.5,2012-2
30,Terminated,89,73,RE,0,2008-1
31,Terminated,89,74,B+,10.5,2009-1
32,Terminated,89,4,RE,0,2011-1
33,Terminated,89,21,C,6,2011-2
34,Terminated,89,5,C,6,2012-1
35,Terminated,89,14,A-,3.75,2012-2
36,Terminated,89,23,F,0,2013-1
37,Terminated,89,75,B+,10.5,2004-2
38,Terminated,89,76,A,4,2005-1
39,Terminated,89,77,RE,0,2008-1
40,Terminated,89,78,B,9,2009-1
41,Terminated,89,23,C,6,2015-1
42,Terminated,89,20,D,3,2015-2
43,Terminated,89,43,C,6,2004-2
44,Terminated,89,43,B+,10.5,2005-1
45,Terminated,89,54,B,9,2006-2
46,Terminated,89,61,A-,11.25,2006-2
47,Terminated,89,15,RE,0,2011-1
48,Terminated,89,22,F,0,2013-1
49,Terminated,113,53,D,3,2001-2
50,Terminated,113,78,B,9,2006-1
51,Terminated,113,44,B,9,2001-1
52,Terminated,113,74,D+,4.5,2001-2
53,Terminated,113,76,B,3,2005-1
54,Terminated,113,62,D+,4.5,2005-1
55,Terminated,113,62,B+,10.5,2005-2
56,Terminated,113,48,F,0,2006-1
57,Terminated,113,77,A,12,2006-1
58,Terminated,113,63,B,9,2006-2
59,Terminated,113,76,D+,1.5,2001-1
60,Terminated,113,73,C,6,2001-1
61,Terminated,113,43,D+,4.5,2004-1
62,Terminated,113,49,C+,7.5,2004-1
63,Terminated,113,45,C+,7.5,2004-1
64,Terminated,113,64,C+,7.5,2005-2
65,Terminated,113,54,C+,7.5,2005-2
66,Terminated,113,75,F,0,2001-1
67,Terminated,113,51,F,0,2001-1
68,Terminated,113,45,D+,4.5,2002-1
69,Terminated,113,75,C,6,2002-1
70,Terminated,113,43,B+,10.5,2005-1
71,Terminated,113,56,C+,7.5,2006-2
72,Terminated,113,65,C+,7.5,2008-2
73,Terminated,113,51,D+,6,2002-1
74,Terminated,113,53,C,6,2002-2
75,Terminated,113,54,D+,4.5,2002-2
76,Terminated,113,74,C,6,2002-2
77,Terminated,113,77,WP,0,2005-1
78,Terminated,113,46,B,9,2006-2
79,Terminated,113,72,C,6,2006-2
80,Transferred,551,305,P,0,2008-1
81,Transferred,551,61,C+,7.5,2008-1
82,Transferred,551,66,F,0,2008-1
83,Transferred,551,306,P,0,2008-1
84,Terminated,639,34,F,0,2013-1
85,Terminated,639,3,F,0,2013-1
86,Terminated,639,4,F,0,2013-1
87,Terminated,639,40,F,0,2013-1
88,Terminated,639,13,F,0,2013-1
